Adres,Plaats,Kamertype,Aantal reacties,Contractdatum,Toewijzing o.b.v. (* is met voorrang),Gescraped op
Nieuwe Kerkhof 13-C 1 K6,Groningen,Gestoffeerd,-,30-05-2026,Maatwerk / Urgentie,2026-04-20 00:41
Duindoornstraat 119-K1,Groningen,Gestoffeerd,11,07-05-2026,"Inschrijfduur: 1 jaar, 11 maanden, 9 dagen",2026-04-20 00:41
Boumaboulevard 640,Groningen,Zelf inrichten,39,21-04-2026,"Inschrijfduur: 4 jaren, 11 maanden, 23 dagen",2026-04-20 00:41
Stieltjesweg 582-A,Delft,Zelf inrichten,-,20-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Uilenstede 193-4239,Amstelveen,Zelf inrichten,-,19-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Stamkartplein 502-3,Den Haag,Zelf inrichten,-,19-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Harderwijkstraat 61-J,'s-Gravenhage,Zelf inrichten,63,19-04-2026,"Inschrijfduur: 5 jaren, 1 maand, 22 dagen",2026-04-20 00:41
Van Hasseltlaan 608,Delft,Zelf inrichten,98,19-04-2026,"Inschrijfduur: 5 jaren, 2 maanden, 15 dagen *",2026-04-20 00:41
Asstraat 90-2,'s-Gravenhage,Zelf inrichten,22,19-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Uilenstede 154-1101,Amstelveen,Zelf inrichten,-,19-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Uilenstede 18-101,Amstelveen,Zelf inrichten,-,19-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Marijkeweg 20--203-J,Wageningen,Zelf inrichten,23,19-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Haarweg 101--408,Wageningen,Gemeubileerd,3,19-04-2026,"Inschrijfduur: 1 jaar, 9 maanden, 21 dagen",2026-04-20 00:41
Bronland 4-503,Wageningen,Zelf inrichten,65,19-04-2026,"Inschrijfduur: 6 jaren, 5 maanden, 9 dagen",2026-04-20 00:41
Carolina MacGillavrylaan 2686,Amsterdam,Zelf inrichten,63,19-04-2026,"Inschrijfduur: 5 jaren, 1 maand, 6 dagen",2026-04-20 00:41
Kraanspoor 27-D13,Amsterdam,Gestoffeerd,37,18-04-2026,Inschrijfduur: 5 jaren,2026-04-20 00:41
Rotterdamseweg 139-B37,Delft,Zelf inrichten,-,18-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
van Hasseltlaan 250-A,Delft,Zelf inrichten,-,18-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Walstraat 42--42,Wageningen,Zelf inrichten,-,18-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Dwarsboomgaardsteeg 22-kmr 4,Leiden,Zelf inrichten,-,18-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Haarweg 143--125,Wageningen,Zelf inrichten,6,18-04-2026,"Inschrijfduur: 1 jaar, 1 maand, 27 dagen",2026-04-20 00:41
Dijkgraaf 4--16A-5,Wageningen,Zelf inrichten,2,18-04-2026,"Inschrijfduur: 9 maanden, 4 dagen",2026-04-20 00:41
Oude Bennekomseweg 35--B002,Wageningen,Zelf inrichten,-,18-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Haarweg 97--330,Wageningen,Gemeubileerd,1,18-04-2026,"Inschrijfduur: 1 jaar, 9 maanden, 14 dagen",2026-04-20 00:41
Marijkeweg 26--1B7,Wageningen,Zelf inrichten,31,18-04-2026,"Inschrijfduur: 4 jaren, 10 maanden, 24 dagen",2026-04-20 00:41
Bornsesteeg 1--06C-2,Wageningen,Gemeubileerd,7,18-04-2026,"Inschrijfduur: 1 jaar, 11 maanden, 9 dagen",2026-04-20 00:41
Oudraadtweg 35-K 12,Delft,Zelf inrichten,-,17-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Echtenstein 176-B,Amsterdam,Zelf inrichten,-,17-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Nicolaas Beetslaan 37-k1,Delft,Zelf inrichten,-,17-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Rotterdamseweg 139-A137,Delft,Zelf inrichten,40,17-04-2026,"Inschrijfduur: 5 jaren, 11 maanden, 5 dagen",2026-04-20 00:41
Uilenstede 179-4152,Amstelveen,Zelf inrichten,-,17-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Haarweg 95--326,Wageningen,Zelf inrichten,9,17-04-2026,"Inschrijfduur: 3 jaren, 14 dagen",2026-04-20 00:41
Hobbemastraat 77-1,'s-Gravenhage,Zelf inrichten,30,17-04-2026,"Inschrijfduur: 3 jaren, 7 maanden, 16 dagen",2026-04-20 00:41
Hoevestein 239--11A-4,Wageningen,Zelf inrichten,3,17-04-2026,"Inschrijfduur: 1 jaar, 15 dagen",2026-04-20 00:41
Röntgenweg 931,Delft,Zelf inrichten,65,17-04-2026,"Inschrijfduur: 5 jaren, 5 maanden, 5 dagen",2026-04-20 00:41
Opaallaan 492,Hoofddorp,Zelf inrichten,22,17-04-2026,"Inschrijfduur: 1 jaar, 2 maanden, 19 dagen",2026-04-20 00:41
Nudestraat 15--18,Wageningen,Zelf inrichten,5,17-04-2026,"Inschrijfduur: 5 jaren, 3 maanden, 19 dagen",2026-04-20 00:41
Haarweg 301--B-4,Wageningen,Zelf inrichten,-,17-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Rijswijkseweg 340-73,'s-Gravenhage,Zelf inrichten,43,17-04-2026,"Inschrijfduur: 7 jaren, 11 maanden, 2 dagen",2026-04-20 00:41
Balthasar van der Polweg 294-A,Delft,Zelf inrichten,-,17-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Uilenstede 47-3268,Amstelveen,Zelf inrichten,-,17-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Van Hasseltlaan 654,Delft,Zelf inrichten,15,17-04-2026,Direct offer - Reactietijd,2026-04-20 00:41
Leemansplein 350,'s-Gravenhage,Zelf inrichten,65,17-04-2026,"Inschrijfduur: 4 jaren, 5 maanden, 22 dagen",2026-04-20 00:41
Balthasar van der Polweg 160-B,Delft,Zelf inrichten,87,17-04-2026,"Inschrijfduur: 4 jaren, 10 maanden, 2 dagen *",2026-04-20 00:41
Van Hasseltlaan 391,Delft,Gemeubileerd,16,17-04-2026,Direct offer - Reactietijd,2026-04-20 00:41
